ecotana        02/10/2010 12:31:59 0	0	0
jgarcia        02/10/2010 12:32:06 0	1	0
despinoza      02/10/2010 12:32:16 D	1	0
hmantezana     02/10/2010 12:33:30 0	1	0
fsanchez       02/10/2010 12:33:43 0	1	0
rmartinez      02/10/2010 12:33:53 0	1	0
lortuno        02/10/2010 12:34:03 0	1	0
rvera          02/10/2010 12:34:09 0	1	0
gmontano       02/10/2010 12:34:38 0	1	0
agarcia        02/10/2010 12:35:36 0	1	0
rvia           02/10/2010 12:36:08 0	1	0
rmijaria       02/10/2010 12:36:15 0	1	0
rsalamanca     02/10/2010 12:36:30 0	1	0
rclaure        02/10/2010 12:36:47 0	1	0
baranibar      02/10/2010 12:36:56 0	1	0
eudaeta        02/10/2010 12:39:33 0	1	0
mgrandillert   02/10/2010 12:39:51 0	0	0
jmita          02/10/2010 12:40:59 0	1	0
fmeza          02/10/2010 12:42:37 0	1	0
rsoliz         02/10/2010 12:44:03 0	1	0
rcordero       02/10/2010 12:44:29 0	1	0
tescriva       02/10/2010 12:46:23 D	0	0
amaldonado     02/10/2010 12:48:46 0	1	0
jbalderrama    02/10/2010 12:49:32 0	1	0
pclaros        02/10/2010 12:49:58 0	1	0
lgalindo       02/10/2010 12:50:27 0	1	0
jevargas       02/10/2010 12:52:09 0	1	0
alaura         02/10/2010 12:52:49 0	1	0
gherbas        02/10/2010 12:53:44 0	1	0
nzurita        02/10/2010 13:30:17 D	1	0
ozarate        02/10/2010 13:43:52 D	1	0
randia         02/10/2010 13:46:56 D	1	0
rsoliz         02/10/2010 14:03:10 D	1	0
lortuno        02/10/2010 14:06:39 D	1	0
vdaga          02/10/2010 14:07:16 0	1	0
jvargas        02/10/2010 14:08:28 D	1	0
vbadani        02/10/2010 14:13:17 D	1	0
aencinas       02/10/2010 14:18:40 D	1	0
fsanchez       02/10/2010 14:18:46 0	1	0
gherbas        02/10/2010 14:19:25 D	1	0
lgalindo       02/10/2010 14:20:21 D	1	0
despinoza      02/10/2010 14:20:39 D	1	0
hmantezana     02/10/2010 14:21:15 D	1	0
gaguilar       02/10/2010 14:21:40 D	1	0
jsolorzano     02/10/2010 14:23:19 D	1	0
jbalderrama    02/10/2010 14:23:29 D	1	0
amaldonado     02/10/2010 14:23:40 D	1	0
rmartinez      02/10/2010 14:25:04 D	1	0
icespedes      02/10/2010 14:25:12 D	1	0
mgrandillert   02/10/2010 14:25:20 D	0	0
eyrady         02/10/2010 14:25:27 D	1	0
nzurita        02/10/2010 14:26:54 D	1	0
jcanedo        02/10/2010 14:27:01 D	1	0
jgarcia        02/10/2010 14:28:02 D	1	0
gmontano       02/10/2010 14:29:09 D	1	0
fmeza          02/10/2010 14:40:41 D	1	0
ecotana        02/10/2010 14:41:23 D	0	0
eudaeta        02/10/2010 14:41:54 D	1	0
tescriva       02/10/2010 14:43:02 D	0	0
jmita          02/10/2010 14:51:57 D	1	0
lsaravia       02/10/2010 15:12:14 D	1	0
eyrady         02/10/2010 18:25:53 D	1	0
jvargas        02/10/2010 18:32:26 0	1	0
jcanedo        02/10/2010 18:32:51 0	1	0
lortuno        02/10/2010 18:33:37 0	1	0
rmartinez      02/10/2010 18:33:48 0	1	0
eudaeta        02/10/2010 18:35:03 0	1	0
lsaravia       02/10/2010 18:35:11 0	1	0
fmeza          02/10/2010 18:35:19 0	1	0
aencinas       02/10/2010 18:37:37 0	1	0
jgarcia        02/10/2010 18:38:31 0	1	0
rsoliz         02/10/2010 18:39:08 0	1	0
ecotana        02/10/2010 18:42:15 0	0	0
jsolorzano     02/10/2010 18:42:27 0	1	0
tescriva       02/10/2010 18:42:55 D	0	0
gmontano       02/10/2010 18:46:31 0	1	0
jmita          02/10/2010 18:47:42 0	1	0
hmantezana     02/10/2010 18:51:17 0	1	0
baranibar      02/10/2010 18:54:44 0	1	0
fsanchez       02/10/2010 19:05:33 0	1	0
pclaros        02/10/2010 19:11:09 D	1	0
jevargas       02/10/2010 19:11:43 0	1	0
nzurita        02/10/2010 19:16:04 0	1	0
despinoza      02/10/2010 19:17:38 0	1	0
amaldonado     02/10/2010 19:21:44 0	1	0
jbalderrama    02/10/2010 19:21:53 0	1	0
mgrandillert   02/10/2010 19:22:14 D	0	0
gaguilar       02/10/2010 19:22:36 0	1	0
agarcia        02/10/2010 19:24:47 0	1	0
lgalindo       02/10/2010 19:24:53 D	1	0
eargandona     02/10/2010 19:28:41 0	1	0
rcordero       02/10/2010 19:36:18 0	1	0
rvera          02/10/2010 20:08:09 0	1	0
jleano         02/10/2010 20:08:23 0	1	0
randia         02/11/2010 07:53:20 D	1	0
rmartinez      02/11/2010 08:02:17 D	1	0
cmollo         02/11/2010 08:02:25 D	1	0
rcordero       02/11/2010 08:03:32 D	1	0
